Industry,Date,County,High Wage Count,Cost of Living,Employment Count,Output Race
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-03-01,Los Angeles,2485,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-03-01,Los Angeles,2485,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-03-01,Los Angeles,2087,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-03-01,Los Angeles,2087,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-03-01,Los Angeles,3044,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-03-01,Los Angeles,3044,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-03-01,Los Angeles,2485,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-03-01,Los Angeles,2485,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-03-01,Los Angeles,2898,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-03-01,Los Angeles,2898,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-04-01,Los Angeles,2964,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-04-01,Los Angeles,2964,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-04-01,Los Angeles,1395,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-04-01,Los Angeles,1395,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-04-01,Los Angeles,5689,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-04-01,Los Angeles,5689,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-04-01,Los Angeles,2565,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-04-01,Los Angeles,2565,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-04-01,Los Angeles,2565,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-04-01,Los Angeles,2565,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-04-01,Los Angeles,2087,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-04-01,Los Angeles,2087,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-04-01,Los Angeles,3070,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-04-01,Los Angeles,3070,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-04-01,Los Angeles,2565,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-04-01,Los Angeles,2565,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-04-01,Los Angeles,2964,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-04-01,Los Angeles,2964,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-05-01,Los Angeles,2964,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-05-01,Los Angeles,2964,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-05-01,Los Angeles,1422,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-05-01,Los Angeles,1422,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-05-01,Los Angeles,5716,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-05-01,Los Angeles,5716,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-05-01,Los Angeles,2578,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-05-01,Los Angeles,2578,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-05-01,Los Angeles,2578,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-05-01,Los Angeles,2578,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-05-01,Los Angeles,2087,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-05-01,Los Angeles,2087,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-05-01,Los Angeles,3070,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-05-01,Los Angeles,3070,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-05-01,Los Angeles,2578,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-05-01,Los Angeles,2578,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-05-01,Los Angeles,2964,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-05-01,Los Angeles,2964,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-06-01,Los Angeles,3004,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-06-01,Los Angeles,3004,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-06-01,Los Angeles,1435,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-06-01,Los Angeles,1435,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-06-01,Los Angeles,5702,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-06-01,Los Angeles,5702,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-06-01,Los Angeles,2605,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-06-01,Los Angeles,2605,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-06-01,Los Angeles,2605,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-06-01,Los Angeles,2605,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-06-01,Los Angeles,2100,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-06-01,Los Angeles,2100,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-06-01,Los Angeles,3084,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-06-01,Los Angeles,3084,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-06-01,Los Angeles,2605,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-06-01,Los Angeles,2605,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-06-01,Los Angeles,3004,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-06-01,Los Angeles,3004,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-07-01,Los Angeles,3070,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-07-01,Los Angeles,3070,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-07-01,Los Angeles,1409,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-07-01,Los Angeles,1409,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-07-01,Los Angeles,5756,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-07-01,Los Angeles,5756,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-07-01,Los Angeles,2672,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-07-01,Los Angeles,2672,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-07-01,Los Angeles,2672,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-07-01,Los Angeles,2672,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-07-01,Los Angeles,2100,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-07-01,Los Angeles,2100,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-07-01,Los Angeles,3124,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-07-01,Los Angeles,3124,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-07-01,Los Angeles,2672,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-07-01,Los Angeles,2672,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-07-01,Los Angeles,3070,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-07-01,Los Angeles,3070,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-08-01,Los Angeles,3110,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-08-01,Los Angeles,3110,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-08-01,Los Angeles,1409,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-08-01,Los Angeles,1409,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-08-01,Los Angeles,5822,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-08-01,Los Angeles,5822,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-08-01,Los Angeles,2672,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-08-01,Los Angeles,2672,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-08-01,Los Angeles,2672,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-08-01,Los Angeles,2672,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-08-01,Los Angeles,2113,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-08-01,Los Angeles,2113,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-08-01,Los Angeles,3124,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-08-01,Los Angeles,3124,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-08-01,Los Angeles,2672,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-08-01,Los Angeles,2672,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-08-01,Los Angeles,3110,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-08-01,Los Angeles,3110,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-09-01,Los Angeles,3070,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-09-01,Los Angeles,3070,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-09-01,Los Angeles,1409,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-09-01,Los Angeles,1409,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-09-01,Los Angeles,5769,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-09-01,Los Angeles,5769,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-09-01,Los Angeles,2685,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-09-01,Los Angeles,2685,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-09-01,Los Angeles,2685,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-09-01,Los Angeles,2685,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-09-01,Los Angeles,2073,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-09-01,Los Angeles,2073,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-09-01,Los Angeles,3084,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-09-01,Los Angeles,3084,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-09-01,Los Angeles,2685,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-09-01,Los Angeles,2685,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-09-01,Los Angeles,3070,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-09-01,Los Angeles,3070,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-10-01,Los Angeles,3097,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-10-01,Los Angeles,3097,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-10-01,Los Angeles,1395,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-10-01,Los Angeles,1395,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-10-01,Los Angeles,5769,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-10-01,Los Angeles,5769,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-10-01,Los Angeles,2658,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-10-01,Los Angeles,2658,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-10-01,Los Angeles,2658,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-10-01,Los Angeles,2658,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-10-01,Los Angeles,2033,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-10-01,Los Angeles,2033,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-10-01,Los Angeles,3097,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-10-01,Los Angeles,3097,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-10-01,Los Angeles,2658,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-10-01,Los Angeles,2658,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-10-01,Los Angeles,3097,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-10-01,Los Angeles,3097,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-11-01,Los Angeles,3137,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-11-01,Los Angeles,3137,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-11-01,Los Angeles,1382,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-11-01,Los Angeles,1382,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-11-01,Los Angeles,5809,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-11-01,Los Angeles,5809,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-11-01,Los Angeles,2672,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-11-01,Los Angeles,2672,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-11-01,Los Angeles,2672,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-11-01,Los Angeles,2672,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-11-01,Los Angeles,2060,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-11-01,Los Angeles,2060,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-11-01,Los Angeles,3110,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-11-01,Los Angeles,3110,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-11-01,Los Angeles,2672,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-11-01,Los Angeles,2672,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-11-01,Los Angeles,3137,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-11-01,Los Angeles,3137,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-12-01,Los Angeles,3110,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-12-01,Los Angeles,3110,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-12-01,Los Angeles,1382,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-12-01,Los Angeles,1382,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-12-01,Los Angeles,5729,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-12-01,Los Angeles,5729,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-12-01,Los Angeles,2658,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-12-01,Los Angeles,2658,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-12-01,Los Angeles,2658,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-12-01,Los Angeles,2658,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-12-01,Los Angeles,2073,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-12-01,Los Angeles,2073,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-12-01,Los Angeles,2991,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-12-01,Los Angeles,2991,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-12-01,Los Angeles,2658,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-12-01,Los Angeles,2658,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-12-01,Los Angeles,3110,80216,37612.0,Black
construction the cleaning of buildings and dwellings is incidental during construction and immediately after construction,2019-12-01,Los Angeles,3110,80216,37612.0,Black
convenience stores,2019-01-01,Los Angeles,0,80216,689.0,Black
convenience stores,2019-01-01,Los Angeles,0,80216,689.0,Black
convenience stores,2019-01-01,Los Angeles,0,80216,689.0,Black
convenience stores,2019-01-01,Los Angeles,0,80216,689.0,Black
convenience stores,2019-02-01,Los Angeles,0,80216,689.0,Black
convenience stores,2019-02-01,Los Angeles,0,80216,689.0,Black
convenience stores,2019-02-01,Los Angeles,0,80216,689.0,Black
convenience stores,2019-02-01,Los Angeles,0,80216,689.0,Black
convenience stores,2019-03-01,Los Angeles,0,80216,689.0,Black
convenience stores,2019-03-01,Los Angeles,0,80216,689.0,Black
convenience stores,2019-03-01,Los Angeles,0,80216,689.0,Black
convenience stores,2019-03-01,Los Angeles,0,80216,689.0,Black
convenience stores,2019-04-01,Los Angeles,0,80216,689.0,Black
convenience stores,2019-04-01,Los Angeles,0,80216,689.0,Black
convenience stores,2019-04-01,Los Angeles,0,80216,689.0,Black
convenience stores,2019-04-01,Los Angeles,0,80216,689.0,Black
convenience stores,2019-05-01,Los Angeles,0,80216,689.0,Black
convenience stores,2019-05-01,Los Angeles,0,80216,689.0,Black
convenience stores,2019-05-01,Los Angeles,0,80216,689.0,Black
convenience stores,2019-05-01,Los Angeles,0,80216,689.0,Black
convenience stores,2019-06-01,Los Angeles,0,80216,689.0,Black
convenience stores,2019-06-01,Los Angeles,0,80216,689.0,Black
convenience stores,2019-06-01,Los Angeles,0,80216,689.0,Black
convenience stores,2019-06-01,Los Angeles,0,80216,689.0,Black
convenience stores,2019-07-01,Los Angeles,0,80216,689.0,Black
convenience stores,2019-07-01,Los Angeles,0,80216,689.0,Black
convenience stores,2019-07-01,Los Angeles,0,80216,689.0,Black
convenience stores,2019-07-01,Los Angeles,0,80216,689.0,Black
convenience stores,2019-08-01,Los Angeles,0,80216,689.0,Black
convenience stores,2019-08-01,Los Angeles,0,80216,689.0,Black
convenience stores,2019-08-01,Los Angeles,0,80216,689.0,Black
convenience stores,2019-08-01,Los Angeles,0,80216,689.0,Black
convenience stores,2019-09-01,Los Angeles,0,80216,689.0,Black
convenience stores,2019-09-01,Los Angeles,0,80216,689.0,Black
convenience stores,2019-09-01,Los Angeles,0,80216,689.0,Black
convenience stores,2019-09-01,Los Angeles,0,80216,689.0,Black
convenience stores,2019-10-01,Los Angeles,0,80216,689.0,Black
convenience stores,2019-10-01,Los Angeles,0,80216,689.0,Black
convenience stores,2019-10-01,Los Angeles,0,80216,689.0,Black
convenience stores,2019-10-01,Los Angeles,0,80216,689.0,Black
convenience stores,2019-11-01,Los Angeles,0,80216,689.0,Black
convenience stores,2019-11-01,Los Angeles,0,80216,689.0,Black
convenience stores,2019-11-01,Los Angeles,0,80216,689.0,Black
convenience stores,2019-11-01,Los Angeles,0,80216,689.0,Black
convenience stores,2019-12-01,Los Angeles,0,80216,689.0,Black
convenience stores,2019-12-01,Los Angeles,0,80216,689.0,Black
convenience stores,2019-12-01,Los Angeles,0,80216,689.0,Black
convenience stores,2019-12-01,Los Angeles,0,80216,689.0,Black
couriers and messengers,2019-01-01,Los Angeles,1243,80216,32420.0,Black
couriers and messengers,2019-01-01,Los Angeles,1243,80216,32420.0,Black
couriers and messengers,2019-01-01,Los Angeles,1243,80216,32420.0,Black
couriers and messengers,2019-01-01,Los Angeles,1243,80216,32420.0,Black
couriers and messengers,2019-01-01,Los Angeles,1243,80216,32420.0,Black
couriers and messengers,2019-01-01,Los Angeles,1243,80216,32420.0,Black
couriers and messengers,2019-02-01,Los Angeles,1131,80216,32420.0,Black
couriers and messengers,2019-02-01,Los Angeles,1131,80216,32420.0,Black
couriers and messengers,2019-02-01,Los Angeles,1131,80216,32420.0,Black
couriers and messengers,2019-02-01,Los Angeles,1131,80216,32420.0,Black
couriers and messengers,2019-02-01,Los Angeles,1131,80216,32420.0,Black
couriers and messengers,2019-02-01,Los Angeles,1131,80216,32420.0,Black
couriers and messengers,2019-03-01,Los Angeles,1127,80216,32420.0,Black
couriers and messengers,2019-03-01,Los Angeles,1127,80216,32420.0,Black
couriers and messengers,2019-03-01,Los Angeles,1127,80216,32420.0,Black
couriers and messengers,2019-03-01,Los Angeles,1127,80216,32420.0,Black
couriers and messengers,2019-03-01,Los Angeles,1127,80216,32420.0,Black
couriers and messengers,2019-03-01,Los Angeles,1127,80216,32420.0,Black
couriers and messengers,2019-04-01,Los Angeles,1131,80216,32420.0,Black
couriers and messengers,2019-04-01,Los Angeles,1131,80216,32420.0,Black
couriers and messengers,2019-04-01,Los Angeles,1131,80216,32420.0,Black
couriers and messengers,2019-04-01,Los Angeles,1131,80216,32420.0,Black
couriers and messengers,2019-04-01,Los Angeles,1131,80216,32420.0,Black
couriers and messengers,2019-04-01,Los Angeles,1131,80216,32420.0,Black
couriers and messengers,2019-05-01,Los Angeles,1150,80216,32420.0,Black
couriers and messengers,2019-05-01,Los Angeles,1150,80216,32420.0,Black
couriers and messengers,2019-05-01,Los Angeles,1150,80216,32420.0,Black
couriers and messengers,2019-05-01,Los Angeles,1150,80216,32420.0,Black
couriers and messengers,2019-05-01,Los Angeles,1150,80216,32420.0,Black
couriers and messengers,2019-05-01,Los Angeles,1150,80216,32420.0,Black
couriers and messengers,2019-06-01,Los Angeles,1185,80216,32420.0,Black
couriers and messengers,2019-06-01,Los Angeles,1185,80216,32420.0,Black
couriers and messengers,2019-06-01,Los Angeles,1185,80216,32420.0,Black
couriers and messengers,2019-06-01,Los Angeles,1185,80216,32420.0,Black
couriers and messengers,2019-06-01,Los Angeles,1185,80216,32420.0,Black
couriers and messengers,2019-06-01,Los Angeles,1185,80216,32420.0,Black
couriers and messengers,2019-07-01,Los Angeles,1193,80216,32420.0,Black
couriers and messengers,2019-07-01,Los Angeles,1193,80216,32420.0,Black
couriers and messengers,2019-07-01,Los Angeles,1193,80216,32420.0,Black
couriers and messengers,2019-07-01,Los Angeles,1193,80216,32420.0,Black
couriers and messengers,2019-07-01,Los Angeles,1193,80216,32420.0,Black
couriers and messengers,2019-07-01,Los Angeles,1193,80216,32420.0,Black
couriers and messengers,2019-08-01,Los Angeles,1204,80216,32420.0,Black
couriers and messengers,2019-08-01,Los Angeles,1204,80216,32420.0,Black
couriers and messengers,2019-08-01,Los Angeles,1204,80216,32420.0,Black
couriers and messengers,2019-08-01,Los Angeles,1204,80216,32420.0,Black
couriers and messengers,2019-08-01,Los Angeles,1204,80216,32420.0,Black
couriers and messengers,2019-08-01,Los Angeles,1204,80216,32420.0,Black
couriers and messengers,2019-09-01,Los Angeles,1231,80216,32420.0,Black
couriers and messengers,2019-09-01,Los Angeles,1231,80216,32420.0,Black
couriers and messengers,2019-09-01,Los Angeles,1231,80216,32420.0,Black
couriers and messengers,2019-09-01,Los Angeles,1231,80216,32420.0,Black
couriers and messengers,2019-09-01,Los Angeles,1231,80216,32420.0,Black
couriers and messengers,2019-09-01,Los Angeles,1231,80216,32420.0,Black
couriers and messengers,2019-10-01,Los Angeles,1286,80216,32420.0,Black
couriers and messengers,2019-10-01,Los Angeles,1286,80216,32420.0,Black
couriers and messengers,2019-10-01,Los Angeles,1286,80216,32420.0,Black
couriers and messengers,2019-10-01,Los Angeles,1286,80216,32420.0,Black
couriers and messengers,2019-10-01,Los Angeles,1286,80216,32420.0,Black
couriers and messengers,2019-10-01,Los Angeles,1286,80216,32420.0,Black
couriers and messengers,2019-11-01,Los Angeles,1491,80216,32420.0,Black
couriers and messengers,2019-11-01,Los Angeles,1491,80216,32420.0,Black
couriers and messengers,2019-11-01,Los Angeles,1491,80216,32420.0,Black
