Industry Title,INDNAICS,Main_Code,Sub_1_Code,Sub_2_Code,Sub_3_Code,Sub_4_Code
"Other schools and instruction, and educational support services ",611m3,600,610,614,614,614
"Business, technical, and trade schools and training",611m2,600,610,610,610,610
Offices of physicians,6211,600,620,621,621a,621a
Outpatient care centers,6214,600,620,621,621d,621d
Other health care services,621m,600,620,621,621g,621g
Home health care services,6216,600,620,621,621f,621f
Offices of dentists,6212,600,620,621,621b,621b
Offices of other health practitioners,6213zm,600,620,621,621c,621c
Offices of optometrists,62132,600,620,621,621,621
Office of chiropractors,62131,600,620,621,621,621
"General medical and surgical hospitals, and specialty (except psychiatric and substance abuse) hospitals",622m,600,620,622,622a,622a
Psychiatric and substance abuse hospitals,6222,600,620,622,622b,622b
"Residential care facilities, except skilled nursing",623m,600,620,623,623d,623d
Nursing care facilities (skilled nursing facilities),6231,600,620,623,623a,623a
Individual and family services,6241,600,620,624,624a,624a
"Community food and housing, and emergency services",6242,600,620,624,624b,624b
Vocational rehabilitation services,6243,600,620,624,624c,624c
Child day care services,6244,600,620,624,624d,624d
Performing Arts Companies,7111,700,710,711,711a,711a
"Independent Artists, Writers, And Performers",7115,700,710,711,711c,711c
"Promoters Of Performing Arts, Sports, And Similar Events, Agents And Managers For Artists, Athletes, Entertainers, And Other Public Figures",711m,700,710,711,711,712
Spectator Sports,7112,700,710,711,711b,711b
"Museums, art galleries, historical sites, and similar institutions",712,700,710,712,712,713
"Other amusement, gambling, and recreation industries",713z,700,710,713,713c,713c
Bowling centers,71395,700,710,713,713,713
"Recreational vehicle parks and camps, and rooming and boarding houses, dormitories, and workers' camps",721m,700,720,721,721,721
Traveler accommodation,7211,700,720,721,721,721
Restaurants and other food services,722z,700,720,722,722,722
"Drinking places, alcohol beverages",7224,700,720,722,722b,722b
Automotive repair and maintenance,8111z,800,811,811a,811a,811a
Car washes,811192,800,811,811a,811a,811a
Commercial and industrial machinery and equipment repair and maintenance,8113,800,811,811b,811b,811b
Personal and household goods repair and maintenance,8114,800,811,811c,811c,811c
Electronic and precision equipment repair and maintenance,8112,800,811,811,811,811
Other personal services,8129,800,812,812c,812c,812c
Drycleaning and laundry services,8123,800,812,812b,812b,812b
Beauty salons,812112,800,812,812a,812a,812a
Private households,814,800,812,812,812,812
Nail salons and other personal care services,8121m,800,812,812a,812a,812a
Barber shops,812111,800,812,812a,812a,812a
"Funeral homes, cemeteries and crematories",8122,800,812,812,812,812
Religious organizations,8131,800,813,813a,813a,813a
"Civic, social, advocacy organizations and grantmaking and giving services",813m,800,813,813b,813b,813b
Labor unions,81393,800,813,813e,813e,813e
"Business, professional, political and similar organizations",8139z,800,813,813e,813e,813e
U.S. Marines,928110p4,900,910,919,919,919
U.S. Navy,928110p3,900,910,919,919,919
U.S. Air Force,928110p2,900,910,919,919,919
U.S. Army,928110p1,900,910,919,919,919
"U.S. Armed forces, branch not specified",928110p6,900,910,919,919,919
Military reserves or national guard,928110p7,900,910,919,919,919
National security and international affairs,928p,900,910,919,919,919
U.S. Coast Guard,928110p5,900,910,919,919,919
Administration of environmental quality and housing programs,92m1,900,900,900,900,900
Administration of human resource programs,923,900,900,900,900,900
Administration of economic programs and space research,92m2,900,900,900,900,900
Other general government and support,92119,900,900,900,900,900
Executive offices and legislative bodies,9211mp,900,900,900,900,900
Public finance activities,92113,900,900,900,900,900
"Justice, public order, and safety activities",92mp,900,900,900,900,900
"Unemployed, with no work experience in past 5 years",999920,999,999,999,999,999
